num,id,concept,property
725,40,A_LETTER,amusement
726,40,A_LETTER,adventure
727,41,A_LETTER,Ant
728,41,A_LETTER,Apple
729,41,A_LETTER,Applicable
730,41,A_LETTER,Apply
731,41,A_LETTER,Art
732,41,A_LETTER,And
733,41,A_LETTER,Albany
734,41,A_LETTER,Award
735,41,A_LETTER,Any
736,41,A_LETTER,Air
737,41,A_LETTER,Add
738,41,A_LETTER,Additional
739,41,A_LETTER,anonymous
740,41,A_LETTER,answer
741,41,A_LETTER,At
742,41,A_LETTER,Atlantis
743,41,A_LETTER,Atlantic
744,41,A_LETTER,Antsy
745,42,A_LETTER,And
746,42,A_LETTER,addition
747,42,A_LETTER,award
748,42,A_LETTER,alphabet
749,42,A_LETTER,alfalfa
750,42,A_LETTER,alfredo
751,42,A_LETTER,all
752,42,A_LETTER,about
753,42,A_LETTER,avacado
754,42,A_LETTER,avangarde
755,42,A_LETTER,alright
756,42,A_LETTER,also
757,42,A_LETTER,accuse
758,42,A_LETTER,additional
759,42,A_LETTER,a lot
760,42,A_LETTER,a
761,42,A_LETTER,awkward
762,42,A_LETTER,armory
763,42,A_LETTER,Albany
764,42,A_LETTER,Alabama
765,42,A_LETTER,Accurate
766,42,A_LETTER,Accustom
767,42,A_LETTER,abba
768,43,A_LETTER,And
769,43,A_LETTER,arm
770,43,A_LETTER,art
771,43,A_LETTER,all
772,43,A_LETTER,always
773,43,A_LETTER,ant
774,43,A_LETTER,about
775,43,A_LETTER,a
776,43,A_LETTER,ambiguous
777,43,A_LETTER,antique
778,43,A_LETTER,ash
779,43,A_LETTER,ass
780,43,A_LETTER,ashfall
781,43,A_LETTER,antiquity
782,43,A_LETTER,aid
783,43,A_LETTER,aided
784,44,A_LETTER,Apple
785,44,A_LETTER,Ass
786,44,A_LETTER,And
787,44,A_LETTER,Art
788,44,A_LETTER,Above
789,44,A_LETTER,Albany
790,44,A_LETTER,Air
791,44,A_LETTER,Answer
792,44,A_LETTER,Alphabet
793,44,A_LETTER,Archer
794,44,A_LETTER,Ask
795,45,A_LETTER,And
796,45,A_LETTER,April
797,45,A_LETTER,able
798,45,A_LETTER,attitude
799,45,A_LETTER,attributes
800,45,A_LETTER,angel
801,45,A_LETTER,angle
802,45,A_LETTER,athlete
803,45,A_LETTER,athletics
804,45,A_LETTER,approximately
805,45,A_LETTER,appropriate
806,45,A_LETTER,apparently
807,45,A_LETTER,ariels
808,45,A_LETTER,also
809,45,A_LETTER,after
810,45,A_LETTER,as
811,45,A_LETTER,alright
812,45,A_LETTER,ask
813,45,A_LETTER,additional
814,45,A_LETTER,add
815,45,A_LETTER,align
816,45,A_LETTER,asexual
817,46,A_LETTER,Adhere
818,46,A_LETTER,apple
819,46,A_LETTER,analaysis
820,46,A_LETTER,analyze
821,46,A_LETTER,allow
822,46,A_LETTER,allowed
823,46,A_LETTER,aformentioned
824,46,A_LETTER,antartica
825,46,A_LETTER,a
826,46,A_LETTER,animal
827,46,A_LETTER,advocate
828,46,A_LETTER,aleks
829,46,A_LETTER,abstain
830,46,A_LETTER,about
831,46,A_LETTER,america
832,46,A_LETTER,accept
833,46,A_LETTER,accent
834,46,A_LETTER,accelerate
835,46,A_LETTER,aim
836,47,A_LETTER,And
837,47,A_LETTER,are
838,47,A_LETTER,ate
839,47,A_LETTER,ape
840,47,A_LETTER,allocate
841,47,A_LETTER,aim
842,47,A_LETTER,aprin
843,47,A_LETTER,april
844,47,A_LETTER,august
845,47,A_LETTER,antenna
846,47,A_LETTER,ant
847,47,A_LETTER,aunt
848,47,A_LETTER,apple
849,47,A_LETTER,apex
850,47,A_LETTER,altitude
851,47,A_LETTER,aptitude
852,47,A_LETTER,attitude
853,47,A_LETTER,alter
854,47,A_LETTER,arrange
855,47,A_LETTER,assort
856,47,A_LETTER,assertane
857,47,A_LETTER,all
858,47,A_LETTER,allow
859,47,A_LETTER,albany
860,48,A_LETTER,animal
861,48,A_LETTER,ass
862,48,A_LETTER,ant
863,48,A_LETTER,air
864,48,A_LETTER,aerodrome
865,48,A_LETTER,airplane
866,48,A_LETTER,aquatic
867,48,A_LETTER,aquarium
868,48,A_LETTER,aloft
869,48,A_LETTER,aloof
870,48,A_LETTER,armenian
871,48,A_LETTER,american
872,48,A_LETTER,asshole
873,49,A_LETTER,Apple
874,49,A_LETTER,ape
875,49,A_LETTER,apocalypse
876,49,A_LETTER,amen
877,49,A_LETTER,amend
878,49,A_LETTER,amendment
879,49,A_LETTER,applaud
880,49,A_LETTER,appease
881,49,A_LETTER,apricot
882,49,A_LETTER,alligator
883,49,A_LETTER,aloud
884,49,A_LETTER,allow
885,49,A_LETTER,allowed
886,49,A_LETTER,applicant
887,49,A_LETTER,application
888,49,A_LETTER,apply
889,49,A_LETTER,approve
890,49,A_LETTER,approval
891,49,A_LETTER,antagonist
892,49,A_LETTER,administration
893,49,A_LETTER,administer
894,49,A_LETTER,aspire
895,49,A_LETTER,attitude
896,50,A_LETTER,Amazing
897,50,A_LETTER,apple
898,50,A_LETTER,auction
899,50,A_LETTER,apprehend
900,50,A_LETTER,appreciate
901,50,A_LETTER,appropiate
902,50,A_LETTER,attend
903,50,A_LETTER,and
904,50,A_LETTER,annoying
905,51,A_LETTER,As
906,51,A_LETTER,ass
907,51,A_LETTER,asshole
908,51,A_LETTER,apple
909,51,A_LETTER,amazing
910,51,A_LETTER,and
911,51,A_LETTER,awesome
912,51,A_LETTER,apprehend
913,51,A_LETTER,any
914,51,A_LETTER,anyway
915,51,A_LETTER,all
916,51,A_LETTER,although
917,51,A_LETTER,asked
918,51,A_LETTER,answered
919,51,A_LETTER,anynomous
920,51,A_LETTER,antonym
921,52,A_LETTER,Animal
922,52,A_LETTER,a
923,52,A_LETTER,an
924,52,A_LETTER,and
925,52,A_LETTER,andy
926,52,A_LETTER,apple
927,52,A_LETTER,ace
928,52,A_LETTER,accurate
929,52,A_LETTER,apendix
930,52,A_LETTER,adam
931,52,A_LETTER,agree
932,52,A_LETTER,agent
933,52,A_LETTER,agraculture
934,52,A_LETTER,alice
935,53,A_LETTER,Apples
936,53,A_LETTER,aunt
937,53,A_LETTER,atom
938,53,A_LETTER,atlis
939,53,A_LETTER,awesome
940,53,A_LETTER,animals
941,53,A_LETTER,autonomy
942,53,A_LETTER,astronomy
943,54,A_LETTER,Ass
944,54,A_LETTER,assimilate
945,54,A_LETTER,animals
946,54,A_LETTER,autonimy
947,54,A_LETTER,anouncement
948,54,A_LETTER,abs
949,54,A_LETTER,abdomin
950,54,A_LETTER,acknowledge
951,54,A_LETTER,autobiography
952,54,A_LETTER,affiliate
953,54,A_LETTER,active
954,54,A_LETTER,all
